id,お題,vote1,vote2
0,好きなのは,きのこの山,たけのこの里
1,好きなのは,Windows,Mac
2,好きなのは,Android,iPhone
3,あなたは？,アウトドア派,インドア派
4,呼び方は?,回転焼き,大判焼き
5,朝ごはんは,ごはん,パン
6,好きなのは,赤いきつね,緑のたぬき
7,大事なのは,愛,お金
8,行きたいのは,海,山
9,からあげに,レモンをかける,レモンをかけない
10,あんこといえば,つぶあん,こしあん
11,酢豚に,パインあり,パインなし
12,ラーメン,醤油,とんこつ
13,ゲームは,専用機でやる派,パソコン・携帯でやる派
14,アニメを,見る派,見ない派
15,料理,する派,しない派
16,簡単なのは,Python,Java
17,旅行に行くなら,日本,海外
18,部屋に物が,多い,少ない
19,好きなのは,カップラーメン,インスタント焼きそば
20,好きなのは,夏,冬
21,よく聴くのは,Jpop,洋楽
22,好きなYoutuber,いる,いない
23,カレーといえば,日本のカレー,インドカレー
24,お酒に,強い,弱い
25,好きなのは,フランス料理,中華料理
26,食べたくないのは,ニシンのパイ(スターゲイジーパイ),イギリス料理
27,お昼ご飯は,外で済ませる派,自炊派
28,過去半年で映画を,見に行った,見に行かなかった
29,スポーツ観戦,する派,しない派
30,メモを取るなら,紙派,タブレット派
31,コーヒーは,ブラック派,カフェオレ派
32,紅茶は,ストレートティー,ミルクティー
33,無人島に置き去りにされるとして持っていくのは,道具,食料
34,ゲームは,任天堂,ソニー
35,鍋のしめは,ご飯派,麺類派
36,鍋といえば,すき焼き,しゃぶしゃぶ
37,休日はいつもより,遅く起きる,変わらない
38,ある時、一生暮らせる臨時収入が入ったら,会社を続ける,会社を辞める
